USAF,YR--MODAHRMN,DIR,SPD,GUS,TEMP,MAX,MIN
29070,201501010300,260.0,27.0,,39.0,,
29070,201501010600,240.0,25.0,,38.0,40.0,38.0
29070,201501010900,240.0,20.0,,38.0,,
29070,201501011200,240.0,25.0,,38.0,,
29070,201501011500,230.0,16.0,,37.0,,
29070,201501011800,230.0,20.0,,37.0,39.0,37.0
29070,201501012100,230.0,25.0,,37.0,,
29070,201501020000,220.0,20.0,,35.0,,
29070,201501020300,200.0,25.0,,35.0,,
29070,201501020600,170.0,20.0,,35.0,37.0,35.0
29070,201501020900,140.0,20.0,,35.0,,
29070,201501021200,110.0,20.0,,33.0,,
29070,201501021500,,,,33.0,,
29070,201501021800,360.0,9.0,,33.0,35.0,32.0
29070,201501022100,330.0,13.0,,33.0,,
29070,201501030000,350.0,27.0,,34.0,,
29070,201501030300,10.0,20.0,,34.0,,
29070,201501030600,10.0,25.0,,33.0,34.0,33.0
29070,201501030900,10.0,22.0,,32.0,,
29070,201501031200,10.0,22.0,,31.0,,
29070,201501031500,20.0,27.0,,30.0,,
29070,201501031800,30.0,22.0,,30.0,33.0,29.0
29070,201501032100,20.0,25.0,,31.0,,
29070,201501040000,20.0,20.0,,31.0,,
29070,201501040300,10.0,16.0,,30.0,,
29070,201501040600,350.0,20.0,,29.0,31.0,29.0
29070,201501040900,40.0,18.0,,27.0,,
29070,201501041200,40.0,20.0,,25.0,,
29070,201501041500,70.0,20.0,,23.0,,
29070,201501041800,80.0,18.0,,21.0,29.0,21.0
29070,201501042100,90.0,16.0,,19.0,,
29070,201501050000,90.0,16.0,,17.0,,
29070,201501050300,60.0,13.0,,17.0,,
29070,201501050600,90.0,13.0,,17.0,21.0,16.0
29070,201501050900,110.0,13.0,,18.0,,
29070,201501051200,190.0,2.0,,18.0,,
29070,201501051400,150.0,4.0,,18.0,,
29070,201501051500,160.0,4.0,,18.0,,
29070,201501051600,160.0,4.0,,18.0,,
29070,201501051700,210.0,4.0,,19.0,,
29070,201501051800,190.0,4.0,,20.0,20.0,16.0
29070,201501051900,170.0,4.0,,20.0,,
29070,201501052000,210.0,4.0,,20.0,,
29070,201501052100,220.0,4.0,,21.0,,
29070,201501052200,210.0,7.0,,21.0,,
29070,201501052300,210.0,9.0,,21.0,,
29070,201501060000,220.0,11.0,,22.0,,
29070,201501060100,220.0,9.0,,22.0,,
29070,201501060200,200.0,9.0,,22.0,,
29070,201501060300,200.0,11.0,,21.0,,
29070,201501060400,190.0,13.0,,20.0,,
29070,201501060500,190.0,13.0,,20.0,,
29070,201501060600,190.0,18.0,,19.0,22.0,19.0
29070,201501060700,190.0,18.0,,19.0,,
29070,201501060800,190.0,18.0,,19.0,,
29070,201501060900,190.0,22.0,,19.0,,
29070,201501061000,190.0,25.0,,18.0,,
29070,201501061100,190.0,27.0,,19.0,,
29070,201501061200,190.0,27.0,,20.0,,
29070,201501061300,190.0,29.0,,20.0,,
29070,201501061400,190.0,27.0,,20.0,,
29070,201501061500,190.0,25.0,,20.0,,
29070,201501061600,180.0,25.0,,20.0,,
29070,201501061700,180.0,27.0,,21.0,,
29070,201501061800,180.0,27.0,,22.0,23.0,18.0
29070,201501061900,170.0,29.0,,22.0,,
29070,201501062000,170.0,29.0,,23.0,,
29070,201501062100,180.0,29.0,,24.0,,
29070,201501062300,180.0,34.0,,26.0,,
29070,201501070000,190.0,36.0,,27.0,,
29070,201501070100,190.0,36.0,,28.0,,
29070,201501070200,190.0,36.0,,30.0,,
29070,201501070300,190.0,38.0,,31.0,,
29070,201501070400,190.0,36.0,,31.0,,
29070,201501070500,200.0,38.0,,31.0,,
29070,201501070600,200.0,36.0,,32.0,32.0,21.0
29070,201501070700,200.0,34.0,,32.0,,
29070,201501070800,200.0,31.0,,33.0,,
29070,201501070900,210.0,31.0,,34.0,,
29070,201501071000,210.0,34.0,,34.0,,
29070,201501071100,210.0,36.0,,34.0,,
29070,201501071200,210.0,34.0,,34.0,,
29070,201501071300,210.0,34.0,,35.0,,
29070,201501071400,220.0,34.0,,34.0,,
29070,201501071500,220.0,31.0,,34.0,,
29070,201501071600,220.0,29.0,,34.0,,
29070,201501071700,230.0,29.0,,35.0,,
29070,201501071800,230.0,29.0,,35.0,35.0,32.0
29070,201501071900,230.0,27.0,,35.0,,
29070,201501072000,230.0,29.0,,36.0,,
29070,201501072100,240.0,25.0,,36.0,,
29070,201501072200,230.0,27.0,,36.0,,
29070,201501072300,230.0,27.0,,35.0,,
29070,201501080000,220.0,27.0,,35.0,,
29070,201501080100,220.0,25.0,,35.0,,
29070,201501080200,230.0,27.0,,35.0,,
29070,201501080300,230.0,27.0,,35.0,,
29070,201501080400,230.0,27.0,,34.0,,
29070,201501080500,210.0,27.0,,33.0,,
29070,201501080600,210.0,20.0,,33.0,36.0,33.0
29070,201501080700,200.0,22.0,,33.0,,
29070,201501080800,200.0,25.0,,33.0,,
29070,201501080900,180.0,25.0,,33.0,,
29070,201501081000,160.0,22.0,,33.0,,
29070,201501081100,160.0,22.0,,33.0,,
29070,201501081200,160.0,22.0,,33.0,,
29070,201501081300,160.0,22.0,,32.0,,
29070,201501081400,150.0,20.0,,32.0,,
29070,201501081500,140.0,22.0,,32.0,,
29070,201501081600,150.0,22.0,,32.0,,
29070,201501081700,150.0,20.0,,32.0,,
29070,201501081800,150.0,20.0,,32.0,33.0,32.0
29070,201501081900,150.0,18.0,,32.0,,
29070,201501082000,,,,32.0,,
29070,201501082100,280.0,20.0,,34.0,,
29070,201501082200,290.0,20.0,,34.0,,
29070,201501082300,290.0,22.0,,34.0,,
29070,201501090000,300.0,25.0,,33.0,,
29070,201501090100,300.0,22.0,,33.0,,
29070,201501090200,290.0,20.0,,33.0,,
29070,201501090300,290.0,20.0,,33.0,,
29070,201501090400,290.0,25.0,,33.0,,
29070,201501090500,300.0,22.0,,33.0,,
29070,201501090600,320.0,18.0,,32.0,34.0,32.0
29070,201501090700,320.0,20.0,,32.0,,
29070,201501090800,310.0,18.0,,32.0,,
29070,201501090900,310.0,20.0,,31.0,,
29070,201501091000,310.0,20.0,,31.0,,
29070,201501091100,310.0,20.0,,31.0,,
29070,201501091200,340.0,16.0,,31.0,,
29070,201501091300,340.0,16.0,,31.0,,
29070,201501091400,350.0,11.0,,30.0,,
29070,201501091500,360.0,13.0,,30.0,,
29070,201501091600,360.0,13.0,,29.0,,
29070,201501091700,20.0,22.0,,28.0,,
29070,201501091800,30.0,22.0,,27.0,33.0,27.0
29070,201501091900,40.0,22.0,,26.0,,
29070,201501092000,,,,25.0,,
29070,201501092100,60.0,27.0,,25.0,,
29070,201501092200,,,,24.0,,
29070,201501092300,,,,24.0,,
29070,201501100000,,,,23.0,,
29070,201501100100,,,,22.0,,
29070,201501100200,,,,21.0,,
29070,201501100300,,,,20.0,,
29070,201501100400,70.0,22.0,,20.0,,
29070,201501100500,70.0,25.0,,18.0,,
29070,201501100600,80.0,20.0,,18.0,27.0,17.0
29070,201501100700,90.0,20.0,,17.0,,
29070,201501100800,90.0,20.0,,16.0,,
29070,201501100900,100.0,18.0,,15.0,,
29070,201501101000,100.0,20.0,,15.0,,
29070,201501101100,110.0,18.0,,14.0,,
29070,201501101200,110.0,20.0,,15.0,,
29070,201501101300,100.0,25.0,,15.0,,
29070,201501101400,110.0,22.0,,15.0,,
29070,201501101500,110.0,22.0,,15.0,,
29070,201501101600,110.0,25.0,,15.0,,
29070,201501101700,100.0,29.0,,15.0,,
29070,201501101800,100.0,31.0,,15.0,18.0,14.0
29070,201501101900,100.0,29.0,,15.0,,
29070,201501102000,100.0,29.0,,14.0,,
