USAF,YR--MODAHRMN,DIR,SPD,GUS,TEMP,MAX,MIN
29720,201501010020,280.0,2.0,,36.0,,
29720,201501010050,990.0,3.0,,37.0,,
29720,201501010120,270.0,6.0,,36.0,,
29720,201501010150,990.0,3.0,,36.0,,
29720,201501010220,990.0,5.0,,36.0,,
29720,201501010250,990.0,5.0,,36.0,,
29720,201501010320,260.0,5.0,,36.0,,
29720,201501010350,250.0,2.0,,36.0,,
29720,201501010420,990.0,2.0,,36.0,,
29720,201501010450,270.0,5.0,,34.0,,
29720,201501010520,270.0,5.0,,36.0,,
29720,201501010550,290.0,10.0,,36.0,,
29720,201501010620,280.0,9.0,,34.0,,
29720,201501010650,270.0,9.0,,34.0,,
29720,201501010720,280.0,11.0,,34.0,,
29720,201501010750,270.0,8.0,,34.0,,
29720,201501010820,260.0,7.0,,34.0,,
29720,201501010850,270.0,7.0,,34.0,,
29720,201501010920,990.0,6.0,,34.0,,
29720,201501010950,260.0,5.0,,34.0,,
29720,201501011020,990.0,7.0,,36.0,,
29720,201501011050,270.0,7.0,,36.0,,
29720,201501011120,270.0,8.0,,36.0,,
29720,201501011150,270.0,7.0,,36.0,,
29720,201501011220,270.0,9.0,,36.0,,
29720,201501011250,260.0,8.0,,36.0,,
29720,201501011320,260.0,7.0,,36.0,,
29720,201501011350,270.0,9.0,,36.0,,
29720,201501011420,260.0,9.0,,37.0,,
29720,201501011450,280.0,11.0,,37.0,,
29720,201501011520,280.0,14.0,,37.0,,
29720,201501011550,280.0,11.0,,37.0,,
29720,201501011620,280.0,10.0,,39.0,,
29720,201501011650,280.0,14.0,,39.0,,
29720,201501011720,280.0,13.0,,39.0,,
29720,201501011750,280.0,11.0,,39.0,,
29720,201501011820,290.0,14.0,,39.0,,
29720,201501011850,280.0,13.0,,39.0,,
29720,201501011920,280.0,11.0,,39.0,,
29720,201501011950,280.0,11.0,,39.0,,
29720,201501012020,280.0,11.0,,39.0,,
29720,201501012050,270.0,10.0,,39.0,,
29720,201501012120,270.0,10.0,,39.0,,
29720,201501012150,990.0,8.0,,39.0,,
29720,201501012220,260.0,9.0,,37.0,,
29720,201501012250,260.0,9.0,,39.0,,
29720,201501012320,260.0,11.0,,39.0,,
