USAF,YR--MODAHRMN,DIR,SPD,GUS,TEMP,MAX,MIN
29500,201501010300,180.0,2.0,,38.0,,
29500,201501010900,260.0,11.0,,37.0,,
29500,201501011500,260.0,20.0,,41.0,,
29500,201501011800,260.0,13.0,,42.0,42.0,36.0
29500,201501012100,250.0,13.0,,41.0,,
29500,201501020000,240.0,13.0,,41.0,,
29500,201501020300,230.0,16.0,,41.0,,
29500,201501020600,210.0,22.0,,41.0,42.0,40.0
29500,201501020900,210.0,25.0,,41.0,,
29500,201501021200,240.0,25.0,,44.0,,
29500,201501021500,280.0,31.0,,40.0,,
29500,201501021800,270.0,29.0,,40.0,44.0,40.0
29500,201501022100,270.0,27.0,,39.0,,
29500,201501030000,260.0,29.0,,38.0,,
29500,201501030300,270.0,31.0,,37.0,,
29500,201501030600,280.0,34.0,,39.0,40.0,34.0
29500,201501030900,300.0,34.0,,39.0,,
29500,201501031200,300.0,34.0,,39.0,,
29500,201501031500,310.0,36.0,,38.0,,
29500,201501031800,310.0,31.0,,38.0,40.0,38.0
29500,201501032100,320.0,34.0,,38.0,,
29500,201501040000,320.0,29.0,,38.0,,
29500,201501040300,320.0,31.0,,37.0,,
29500,201501040600,330.0,29.0,,37.0,38.0,37.0
29500,201501040900,350.0,18.0,,36.0,,
29500,201501041200,340.0,22.0,,36.0,,
29500,201501041500,330.0,22.0,,36.0,,
29500,201501041800,330.0,22.0,,35.0,37.0,35.0
29500,201501042100,330.0,18.0,,36.0,,
29500,201501050000,360.0,13.0,,32.0,,
29500,201501050300,360.0,18.0,,31.0,,
29500,201501050600,20.0,20.0,,27.0,36.0,27.0
29500,201501050900,20.0,13.0,,22.0,,
29500,201501051200,20.0,11.0,,22.0,,
29500,201501051500,20.0,9.0,,19.0,,
29500,201501051600,40.0,11.0,,18.0,,
29500,201501051700,40.0,9.0,,17.0,,
29500,201501051800,40.0,9.0,,17.0,27.0,16.0
29500,201501051900,40.0,7.0,,16.0,,
29500,201501052000,60.0,9.0,,16.0,,
29500,201501052100,50.0,7.0,,16.0,,
29500,201501052200,50.0,9.0,,16.0,,
29500,201501052300,60.0,7.0,,15.0,,
29500,201501060000,50.0,7.0,,16.0,,
29500,201501060100,60.0,7.0,,15.0,,
29500,201501060200,60.0,9.0,,16.0,,
29500,201501060300,80.0,7.0,,17.0,,
29500,201501060400,100.0,7.0,,19.0,,
29500,201501060500,100.0,4.0,,20.0,,
29500,201501060600,80.0,4.0,,20.0,20.0,15.0
29500,201501060700,130.0,9.0,,23.0,,
29500,201501060800,120.0,9.0,,24.0,,
29500,201501060900,120.0,11.0,,23.0,,
29500,201501061000,130.0,13.0,,26.0,,
29500,201501061100,180.0,18.0,,28.0,,
29500,201501061200,170.0,18.0,,28.0,,
29500,201501061300,180.0,18.0,,29.0,,
29500,201501061400,180.0,20.0,,28.0,,
29500,201501061500,180.0,20.0,,29.0,,
29500,201501061600,170.0,20.0,,29.0,,
29500,201501061700,190.0,18.0,,30.0,,
29500,201501061800,180.0,22.0,,31.0,31.0,20.0
29500,201501061900,180.0,27.0,,31.0,,
29500,201501062000,180.0,27.0,,32.0,,
29500,201501062100,180.0,29.0,,33.0,,
29500,201501062200,190.0,29.0,,33.0,,
29500,201501062300,190.0,31.0,,33.0,,
29500,201501070000,190.0,31.0,,33.0,,
29500,201501070100,200.0,29.0,,34.0,,
29500,201501070200,200.0,29.0,,34.0,,
29500,201501070300,200.0,29.0,,35.0,,
29500,201501070400,200.0,27.0,,35.0,,
29500,201501070500,200.0,25.0,,33.0,,
29500,201501070600,200.0,27.0,,33.0,35.0,31.0
29500,201501070700,200.0,22.0,,34.0,,
29500,201501070800,200.0,27.0,,35.0,,
29500,201501070900,200.0,27.0,,35.0,,
29500,201501071000,200.0,25.0,,35.0,,
29500,201501071100,200.0,27.0,,36.0,,
29500,201501071200,200.0,27.0,,35.0,,
29500,201501071300,200.0,27.0,,35.0,,
29500,201501071400,200.0,25.0,,36.0,,
29500,201501071500,200.0,25.0,,36.0,,
29500,201501071600,200.0,29.0,,36.0,,
29500,201501071700,200.0,27.0,,36.0,,
29500,201501071800,200.0,25.0,,36.0,37.0,33.0
29500,201501071900,210.0,20.0,,37.0,,
29500,201501072000,200.0,22.0,,37.0,,
29500,201501072100,200.0,20.0,,37.0,,
29500,201501072200,210.0,22.0,,36.0,,
29500,201501072300,210.0,18.0,,37.0,,
